NomeFilme,MBTI1,MBTI2,MBTI3
...E o Vento Levou ,estp,entp,infp
 O Sol é para Todos ,infj,enfp,enfj
Antes do amanhecer,entp,infp,
Lawrence da Arábia,infj,intp,infj
 Sempre ao Seu Lado,isfj,isfj,estj
Túmulo dos vagalumes,istj,enfp,estj
Your Name,infp,istp,infp
 Dança com Lobos ,enfp,infp,infj
Quanto Mais Quente Melhor,esfp,entp,esfj
 Golpe de Mestre ,entp,estp,estj
Cinema paradiso,entp,isfp,infj
Por uns Dólares a Mais ,istp,infj,intj
O Barco: Inferno no Mar,istj,enfp,
A Separação,istj,istj,isfj
Cantando na Chuva,estp,istj,entp
Tempos modernos,isfp,enfp,
 O Homem Elefante,isfj,istj,estj
Amores Brutos,esfp,isfj,intp
 Ben-Hur ,infj,estj,estp
A Noviça Rebelde,enfp,estj,esfj
O Grande Ditador,infj,isfj,enfp
Crepúsculo dos Deuses,esfp,istp,istj
A Ponte do Rio Kwai ,estj,isfp,enfj
O Segredo dos Seus Olhos ,intj,entj,infp
 O Gigante de Ferro,infp,enfp,estj
Relatos Selvagens ,intj,entj,infj
Glória Feita de Sangue ,enfj,estj,isfp
Como Estrelas na Terra ,infp,enfp,isfj
Dangal ,estj,isfp,esfj
 Memórias de um Assassino,estp,intj,istp
 O Sétimo Selo,isfp,entj,enfp
Luzes da Cidade,enfp,entj,
Se Meu Apartamento Falasse ,esfj,enfp,estj
 Incêndios,infj,infp,isfp
 Rebeldia Indomável ,istp,estp,istj
 Mary e Max: Uma Amizade Diferente,intp,infp,esfp
 O Ódio,esfp,enfp,infj
Disque M para Matar,istj,isfj,intp
 Em Nome do Pai,esfp,infj,esfj
Metrópolis,enfj,infp,intp
 O 3º Homem,entj,istp,estj
Barry Lyndon,isfp,infp,intj
Rashomon,estp,esfj,isfp
 Ladrões de Bicicletas ,estj,estj,isfj
 Meu Pai ,entp,isfj,isfp
Klaus,entp,isfj,intp
 Rede de Intrigas,entp,entj,enfj
" M, o Vampiro de Dusseldorf",enfp,estj,enfp
Pacto de sangue,istp,isfj,istj
 Sindicato de Ladrões,isfp,isfj,estj
A Criada ,isfp,intj,entj
" Rebecca, a Mulher Inesquecível ",istj,infp,istj
A Malvada,infj,esfp,intj
 John Wick 4: Baba Yaga ,esfp,infj,intj
 Testemunha de Acusação ,entj,intj,estp
Ran,istj,intj,enfj
O Tesouro da Sierra Madre ,istp,estp,isfj
"Yojimbo, o Guarda-Costas",istp,estp,estp
Os Incompreendidos  ,isfp,estj,estj
A Mulher Faz o Homem ,enfp,enfj,estj
Em Busca do Ouro ,infp,esfp,esfp
Morangos Silvestres ,istj,isfp,estj
Aconteceu Naquela Noite ,entj,esfp,esfj
Hamilton ,entj,infj,enfj
As Vinhas da Ira ,istp,infj,entp
Cafarnaum,intj,isfp,estp
Meu Pai e Meu Filho ,infj,infp,istj
O grande truque,intj,infj,intj
Chicago,esfp,estp,entp
Crash - No Limite,estp,isfj,esfj
Quem Quer Ser um Milionário?,infp,estp,isfp
Guerra ao Terror,estp,istj,esfj
O Discurso do Rei,istj,entp,esfj
O Artista,entp,enfp,estj
Argo,istj,entp,enfp
Birdman,enfp,isfp,entp
Moonlight,isfp,enfj,isfj
A Forma da Água,infp,infp,isfj
Nomadland,isfp,isfj,enfj
No Ritmo do Coração,isfp,istp,esfp
Tudo em Todo Lugar ao Mesmo Tempo,estj,infp,isfp
